,ID,inchikey,sdftitle,order,set,CVfold,NR.AhR,NR.AR,NR.AR.LBD,NR.Aromatase,NR.ER,NR.ER.LBD,NR.PPAR.gamma,SR.ARE,SR.ATAD5,SR.HSE,SR.MMP,SR.p53
3943,NCGC00249415-01,AEKQMJRJRAHOAP-CYBMUJFWSA-N,NCGC00249415-01,3943,training,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
3944,NCGC00253949-01,GWLFIMOOGVXSMZ-UHFFFAOYSA-N,NCGC00253949-01,3944,training,,1.0,0.0,1.0,,1.0,1.0,,,1.0,0.0,,1.0
3945,NCGC00024595-03,CFJMRBQWBDQYMK-UHFFFAOYSA-N,NCGC00024595-03,3945,training,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
3946,NCGC00160548-01,GAWOVNGQYQVFLI-UHFFFAOYSA-N,NCGC00160548-01,3946,training,,1.0,1.0,0.0,,1.0,,0.0,,1.0,,1.0,0.0
3947,NCGC00182060-02,JMUPNNYLJGSMPK-JPJJPTBZSA-N,NCGC00182060-02,3947,training,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,
3948,NCGC00183853-01,PXUIZULXJVRBPC-UHFFFAOYSA-N,NCGC00183853-01,3948,training,,1.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0
3949,NCGC00016950-01,WOFMFGQZHJDGCX-ZULDAHANSA-N,NCGC00016950-01,3949,training,,0.0,1.0,,,0.0,0.0,0.0,,0.0,,1.0,0.0
3950,NCGC00160412-01,YKWQHMLRAPIWDP-UHFFFAOYSA-N,NCGC00160412-01,3950,training,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
3951,NCGC00015252-08,JJCFRYNCJDLXIK-UHFFFAOYSA-N,NCGC00015252-08,3951,training,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
3952,NCGC00254069-01,AWXQYTLSBPWDMJ-UHFFFAOYSA-N,NCGC00254069-01,3952,training,,0.0,0.0,0.0,,,0.0,,1.0,0.0,0.0,,0.0
3953,NCGC00094556-01,RRZXIRBKKLTSOM-XPNPUAGNSA-N,NCGC00094556-01,3953,training,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,0.0
3954,NCGC00167447-01,UDCIYVVYDCXLSX-UHFFFAOYSA-N,NCGC00167447-01,3954,training,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0
3955,NCGC00164585-01,LIVSBYNMLPEZHQ-DNGJBDHLSA-N,NCGC00164585-01,3955,training,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,,0.0,,,0.0
3956,NCGC00160385-01,PXGPLTODNUVGFL-YNNPMVKQSA-N,NCGC00160385-01,3956,training,,0.0,0.0,0.0,0.0,1.0,,0.0,,0.0,,0.0,0.0
3957,NCGC00160678-01,UBAJTZKNDCEGKL-UHFFFAOYSA-N,NCGC00160678-01,3957,training,,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
3958,NCGC00258115-01,SOXAGEOHPCXXIO-UHFFFAOYSA-N,NCGC00258115-01,3958,training,,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,1.0,
3959,NCGC00016943-01,WMWTYOKRWGGJOA-ZHLGSTKJSA-N,NCGC00016943-01,3959,training,,,1.0,0.0,,0.0,0.0,0.0,,0.0,,1.0,0.0
3960,NCGC00023902-06,AEMFNILZOJDQLW-QAGGRKNESA-N,NCGC00023902-06,3960,training,1.0,0.0,1.0,1.0,,1.0,,0.0,,0.0,,0.0,0.0
3961,NCGC00016046-02,YZOFLYUAQDJWKV-UHFFFAOYSA-N,NCGC00016046-02,3961,training,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0
3962,NCGC00095321-04,VFLDPWHFBUODDF-FCXRPNKRSA-N,NCGC00095321-04,3962,training,,,0.0,0.0,,0.0,0.0,1.0,,0.0,,1.0,1.0
3963,NCGC00024885-01,OPZKBPQVWDSATI-KHPPLWFESA-N,NCGC00024885-01,3963,training,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0
3964,NCGC00092362-01,DMJWENQHWZZWDF-PKOBYXMFSA-N,NCGC00092362-01,3964,training,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
3965,NCGC00162247-02,OZYUPQUCAUTOBP-QXAKKESOSA-N,NCGC00162247-02,3965,training,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0
3966,NCGC00016604-01,WXURHACBFYSXBI-GQKYHHCASA-N,NCGC00016604-01,3966,training,,0.0,1.0,1.0,,0.0,0.0,0.0,,,,0.0,0.0
3967,NCGC00022848-06,JYGXADMDTFJGBT-VWUMJDOOSA-N,NCGC00022848-06,3967,training,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,,,,0.0,0.0
3968,NCGC00181081-01,AAXVEMMRQDVLJB-BULBTXNYSA-N,NCGC00181081-01,3968,training,,0.0,1.0,1.0,,1.0,,0.0,,0.0,,0.0,0.0
3969,NCGC00016330-01,VHRSUDSXCMQTMA-PJHHCJLFSA-N,NCGC00016330-01,3969,training,,,1.0,1.0,,0.0,0.0,0.0,,0.0,,0.0,0.0
3970,NCGC00018263-02,FZCHYNWYXKICIO-FZNHGJLXSA-N,NCGC00018263-02,3970,training,,0.0,1.0,1.0,,0.0,,0.0,,0.0,,0.0,0.0
3971,NCGC00023193-04,YNDXUCZADRHECN-JNQJZLCISA-N,NCGC00023193-04,3971,training,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,,,,0.0,0.0
3972,NCGC00167983-01,WBGKWQHBNHJJPZ-LECWWXJVSA-N,NCGC00167983-01,3972,training,,0.0,1.0,0.0,,1.0,0.0,0.0,,,,0.0,0.0
3973,NCGC00016292-01,ZESRJSPZRDMNHY-YFWFAHHUSA-N,NCGC00016292-01,3973,training,1.0,0.0,1.0,1.0,,,0.0,0.0,,0.0,,0.0,0.0
3974,NCGC00023648-03,VWVSBHGCDBMOOT-IIEHVVJPSA-N,NCGC00023648-03,3974,training,,,1.0,1.0,,0.0,0.0,0.0,,0.0,,0.0,0.0
3975,NCGC00165983-01,WLDHEUZGFKACJH-FAIYXUOWSA-K,NCGC00165983-01,3975,training,2.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0
3976,NCGC00095942-01,AJLFOPYRIVGYMJ-INTXDZFKSA-N,NCGC00095942-01,3976,training,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0
3977,NCGC00095068-01,LTRANDSQVZFZDG-SNVBAGLBSA-N,NCGC00095068-01,3977,training,,,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,0.0
3978,NCGC00165808-01,ODEDPKNSRBCSDO-UHFFFAOYSA-N,NCGC00165808-01,3978,training,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
3979,NCGC00183596-01,DTXXSJZBSTYZKE-ZDQKKZTESA-N,NCGC00183596-01,3979,training,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,1.0
3980,NCGC00256843-01,AHIPJALLQVEEQF-UHFFFAOYSA-N,NCGC00256843-01,3980,training,,0.0,0.0,0.0,,0.0,,,1.0,1.0,1.0,0.0,1.0
3981,NCGC00094713-01,PSGAAPLEWMOORI-PEINSRQWSA-N,NCGC00094713-01,3981,training,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,,0.0,,,0.0
3982,NCGC00255526-01,OHCQJHSOBUTRHG-KGGHGJDLSA-N,NCGC00255526-01,3982,training,,0.0,0.0,0.0,1.0,,0.0,0.0,,1.0,0.0,,0.0
3983,NCGC00159420-03,PHPUXYRXPHEJDF-UHFFFAOYSA-N,NCGC00159420-03,3983,training,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,1.0,1.0
3984,NCGC00016433-01,ZOCUOMKMBMEYQV-GSLJADNHSA-N,NCGC00016433-01,3984,training,,,1.0,1.0,,0.0,0.0,0.0,,0.0,,0.0,0.0
3985,NCGC00168749-01,WYQPLTPSGFELIB-JTQPXKBDSA-N,NCGC00168749-01,3985,training,,0.0,1.0,1.0,,0.0,0.0,0.0,,0.0,,,0.0
3986,NCGC00016940-01,RYMZZMVNJRMUDD-HGQWONQESA-N,NCGC00016940-01,3986,training,,0.0,1.0,0.0,,1.0,0.0,0.0,,0.0,,,0.0
3987,NCGC00258975-01,OUBMGJOQLXMSNT-UHFFFAOYSA-N,NCGC00258975-01,3987,training,,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,,,1.0
3988,NCGC00095872-01,SFBODOKJTYAUCM-UHFFFAOYSA-N,NCGC00095872-01,3988,training,,1.0,0.0,0.0,,1.0,0.0,0.0,,1.0,,,0.0
3989,NCGC00160545-01,BEWNZPMDJIGBED-UHFFFAOYSA-N,NCGC00160545-01,3989,training,,,0.0,0.0,,1.0,0.0,0.0,,1.0,,1.0,0.0
3990,NCGC00164615-01,PWNMXPDKBYZCOO-UHFFFAOYSA-N,NCGC00164615-01,3990,training,,0.0,1.0,1.0,,1.0,1.0,0.0,,0.0,,,0.0
3991,NCGC00259354-01,ARSRBNBHOADGJU-UHFFFAOYSA-N,NCGC00259354-01,3991,training,,1.0,,0.0,0.0,1.0,,1.0,1.0,0.0,1.0,,1.0
3992,NCGC00254846-01,HAORKNGNJCEJBX-UHFFFAOYSA-N,NCGC00254846-01,3992,training,,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0,,,0.0
3993,NCGC00167490-01,DYLGFOYVTXJFJP-MYYYXRDXSA-N,NCGC00167490-01,3993,training,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,0.0
3994,NCGC00016613-01,SWKDMSRRIBZZAY-UHFFFAOYSA-N,NCGC00016613-01,3994,training,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,
3995,NCGC00094220-02,FHIKZROVIDCMJA-UHFFFAOYSA-N,NCGC00094220-02,3995,training,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0
3996,NCGC00013315-01,SDBHDSZKNVDKNU-UHFFFAOYSA-N,NCGC00013315-01,3996,training,,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,,1.0,0.0
3997,NCGC00159323-02,ADIMAYPTOBDMTL-UHFFFAOYSA-N,NCGC00159323-02,3997,training,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,0.0
3998,NCGC00095179-01,ZAFYATHCZYHLPB-UHFFFAOYSA-N,NCGC00095179-01,3998,training,,,1.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0
3999,NCGC00249414-01,VWNWVCJGUMZDIU-UHFFFAOYSA-N,NCGC00249414-01,3999,training,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0
4000,NCGC00092314-01,HOGVTUZUJGHKPL-HTVVRFAVSA-N,NCGC00092314-01,4000,training,,1.0,0.0,0.0,1.0,,0.0,0.0,,0.0,,1.0,0.0
4001,NCGC00160657-01,JHBWYQRKOUBPCA-UHFFFAOYSA-N,NCGC00160657-01,4001,training,,1.0,1.0,0.0,,,0.0,0.0,,1.0,,1.0,0.0
4002,NCGC00095188-01,IQPSEEYGBUAQFF-UHFFFAOYSA-N,NCGC00095188-01,4002,training,,1.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0
4003,NCGC00164549-01,IXTMWRCNAAVVAI-UHFFFAOYSA-N,NCGC00164549-01,4003,training,,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0
4004,NCGC00181048-01,PSGRLCOSIXJUAL-YJPMVUORSA-N,NCGC00181048-01,4004,training,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
4005,NCGC00015964-09,DKGZKTPJOSAWFA-UHFFFAOYSA-N,NCGC00015964-09,4005,training,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,1.0,0.0
4006,NCGC00258862-01,GQFGHCRXPLROOF-UHFFFAOYSA-N,NCGC00258862-01,4006,training,,1.0,0.0,,,,,0.0,1.0,0.0,0.0,1.0,0.0
4007,NCGC00015060-06,LMEKQMALGUDUQG-UHFFFAOYSA-N,NCGC00015060-06,4007,training,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,1.0
4008,NCGC00160665-01,GZIISXIDAZYOLI-UHFFFAOYSA-N,NCGC00160665-01,4008,training,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,
4009,NCGC00182036-01,ZHHIHQFAUZZMTG-HBTICLRTSA-N,NCGC00182036-01,4009,training,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,1.0
4010,NCGC00017014-01,QPOFIDVRLWJICD-XDELLUAHSA-N,NCGC00017014-01,4010,training,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0
4011,NCGC00183658-01,VZUGVMQFWFVFBX-UHFFFAOYSA-N,NCGC00183658-01,4011,training,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0
4012,NCGC00095120-01,WWXYYTOHUGNKSA-UHFFFAOYSA-N,NCGC00095120-01,4012,training,,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0
4013,NCGC00168759-02,OOUGLTULBSNHNF-UHFFFAOYSA-N,NCGC00168759-02,4013,training,,1.0,1.0,,,1.0,0.0,0.0,,1.0,,0.0,0.0
4014,NCGC00026844-02,XEQIPELDMSEBJG-UHFFFAOYSA-N,NCGC00026844-02,4014,training,,1.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0
4015,NCGC00183868-01,JIEKMACRVQTPRC-UHFFFAOYSA-N,NCGC00183868-01,4015,training,,1.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,1.0,0.0
4016,NCGC00260090-01,HCLJOFJIQIJXHS-UHFFFAOYSA-N,NCGC00260090-01,4016,training,,0.0,0.0,1.0,,,0.0,1.0,1.0,1.0,,0.0,
4017,NCGC00093802-04,FMGSKLZLMKYGDP-USOAJAOKSA-N,NCGC00093802-04,4017,training,,0.0,0.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,0.0
4018,NCGC00164611-01,SIGSPDASOTUPFS-XUDSTZEESA-N,NCGC00164611-01,4018,training,,0.0,1.0,1.0,,1.0,1.0,0.0,,0.0,,,0.0
4019,NCGC00160504-01,HHSXYDOROIURIP-FEZCWRLCSA-N,NCGC00160504-01,4019,training,,0.0,1.0,1.0,,1.0,1.0,0.0,,0.0,,,0.0
4020,NCGC00249417-01,PQHLRGARXNPFCF-UHFFFAOYSA-N,NCGC00249417-01,4020,training,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0
4021,NCGC00166227-01,IQOMYCGTGFGDFN-UHFFFAOYSA-N,NCGC00166227-01,4021,training,,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0
4022,NCGC00181913-02,OEHKWMHRFWWMQK-UHFFFAOYSA-N,NCGC00181913-02,4022,training,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0
4023,NCGC00090749-04,RGLYKWWBQGJZGM-UHFFFAOYSA-N,NCGC00090749-04,4023,training,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,1.0,1.0
4024,NCGC00259078-01,JSFITYFUKSFPBZ-UHFFFAOYSA-N,NCGC00259078-01,4024,training,,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,1.0,
4025,NCGC00162275-02,NETZHAKZCGBWSS-CEDHKZHLSA-N,NCGC00162275-02,4025,training,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0
4026,NCGC00257271-01,AHXGXXJEEHFHDK-UHFFFAOYSA-N,NCGC00257271-01,4026,training,,,0.0,0.0,,1.0,,0.0,1.0,0.0,1.0,1.0,
4027,NCGC00021222-03,WHBHBVVOGNECLV-OBQKJFGGSA-N,NCGC00021222-03,4027,training,,0.0,1.0,1.0,,,0.0,0.0,,0.0,,0.0,0.0
4028,NCGC00167509-01,VPUGSHLBERYQGC-UHFFFAOYSA-M,NCGC00167509-01,4028,training,,0.0,1.0,1.0,,1.0,,0.0,,0.0,,0.0,0.0
4029,NCGC00169077-02,VAKMIIPDYZXBEV-DPMBMXLASA-M,NCGC00169077-02,4029,training,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,
4030,NCGC00258125-01,OGVPXEPSTZMAFF-UHFFFAOYSA-N,NCGC00258125-01,4030,training,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,1.0
4031,NCGC00189073-01,CYOHGALHFOKKQC-UHFFFAOYSA-N,NCGC00189073-01,4031,training,,,0.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,0.0
4032,NCGC00182970-01,YLRFCQOZQXIBAB-RBZZARIASA-N,NCGC00182970-01,4032,training,,0.0,1.0,1.0,,1.0,,0.0,,0.0,,0.0,0.0
4033,NCGC00185736-01,RAGOYPUPXAKGKH-AGDNISCASA-N,NCGC00185736-01,4033,training,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0
4034,NCGC00259428-01,AHIPJALLQVEEQF-UHFFFAOYSA-N,NCGC00259428-01,4034,training,,0.0,0.0,0.0,,,0.0,,1.0,1.0,,0.0,1.0
4035,NCGC00018122-08,MWYHLEQJTQJHSS-UHFFFAOYSA-N,NCGC00018122-08,4035,training,,0.0,0.0,,,0.0,0.0,1.0,,0.0,,1.0,1.0
4036,NCGC00016853-01,BLXXJMDCKKHMKV-UHFFFAOYSA-N,NCGC00016853-01,4036,training,,,0.0,0.0,,1.0,0.0,0.0,,1.0,,0.0,0.0
4037,NCGC00186466-01,ONKUMRGIYFNPJW-KIEAKMPYSA-N,NCGC00186466-01,4037,training,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,,0.0
4038,NCGC00070736-02,DOUYETYNHWVLEO-UHFFFAOYSA-N,NCGC00070736-02,4038,training,,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0
4039,NCGC00024809-02,HRSANNODOVBCST-UHFFFAOYSA-N,NCGC00024809-02,4039,training,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
4040,NCGC00015426-04,KGQZGCIVHYLPBH-UHFFFAOYSA-N,NCGC00015426-04,4040,training,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0
4041,NCGC00255370-01,VHOGYURTWQBHIL-UHFFFAOYSA-N,NCGC00255370-01,4041,training,,1.0,,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4042,NCGC00095187-01,YLXDSYKOBKBWJQ-UHFFFAOYSA-N,NCGC00095187-01,4042,training,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,0.0
4043,NCGC00159328-02,JQIYNMYZKRGDFK-RUFWAXPRSA-N,NCGC00159328-02,4043,training,,0.0,1.0,1.0,,1.0,1.0,0.0,,0.0,,0.0,
4044,NCGC00015410-04,RATZLMXRALDSJW-UHFFFAOYSA-N,NCGC00015410-04,4044,training,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0
4045,NCGC00094673-01,RSEPBGGWRJCQGY-RBRWEJTLSA-N,NCGC00094673-01,4045,training,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,,0.0
4046,NCGC00159403-02,JKWKMORAXJQQSR-MOPIKTETSA-N,NCGC00159403-02,4046,training,,0.0,1.0,1.0,,1.0,1.0,0.0,,0.0,,0.0,0.0
4047,NCGC00163158-01,BKRGVLQUQGGVSM-KDOFPFPSSA-N,NCGC00163158-01,4047,training,,1.0,0.0,0.0,,0.0,0.0,0.0,,,,1.0,0.0
4048,NCGC00015368-06,CURUTKGFNZGFSE-UHFFFAOYSA-N,NCGC00015368-06,4048,training,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0
4049,NCGC00159449-03,WHLUQAYNVOGZST-UHFFFAOYSA-N,NCGC00159449-03,4049,training,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,,0.0
4050,NCGC00016348-02,DECIPOUIJURFOJ-UHFFFAOYSA-N,NCGC00016348-02,4050,training,4.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0
4051,NCGC00167492-01,WMFYOYKPJLRMJI-UHFFFAOYSA-N,NCGC00167492-01,4051,training,,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,,1.0,0.0
4052,NCGC00016056-02,LUCXVPAZUDVVBT-UNTBIKODSA-N,NCGC00016056-02,4052,training,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
4053,NCGC00254229-01,OOOGUILTDUSZPA-UHFFFAOYSA-N,NCGC00254229-01,4053,training,,0.0,0.0,0.0,,,0.0,,1.0,,0.0,1.0,0.0
4054,NCGC00257454-01,CXWQXGNFZLHLHQ-DPFCLETOSA-N,NCGC00257454-01,4054,training,0.0,1.0,0.0,0.0,,,,0.0,1.0,0.0,,0.0,0.0
4055,NCGC00166308-01,JFMGBGLSDVIOHL-UHFFFAOYSA-N,NCGC00166308-01,4055,training,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
4056,NCGC00025302-01,JFPPLMAMMZZOEA-UHFFFAOYSA-N,NCGC00025302-01,4056,training,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
4057,NCGC00166415-01,OLDRWYVIKMSFFB-SSPJITILSA-N,NCGC00166415-01,4057,training,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
4058,NCGC00164539-01,ZQTOZLYOIRKCPL-UHFFFAOYSA-N,NCGC00164539-01,4058,training,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
4059,NCGC00178168-02,AAOVKJBEBIDNHE-UHFFFAOYSA-N,NCGC00178168-02,4059,training,3.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,,0.0,0.0
4060,NCGC00024740-02,GGALEXMXDMUMDM-UHFFFAOYSA-N,NCGC00024740-02,4060,training,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,
4061,NCGC00168258-01,JOFWLTCLBGQGBO-UHFFFAOYSA-N,NCGC00168258-01,4061,training,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0
4062,NCGC00166258-01,OFSAUHSCHWRZKM-UHFFFAOYSA-N,NCGC00166258-01,4062,training,,,0.0,0.0,,1.0,0.0,0.0,,1.0,,0.0,0.0
4063,NCGC00160483-01,DOUQJBPSTIKRPH-UHFFFAOYSA-N,NCGC00160483-01,4063,training,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
4064,NCGC00016710-01,PMGQWSIVQFOFOQ-YKVZVUFRSA-N,NCGC00016710-01,4064,training,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
4065,NCGC00164548-01,QMLVECGLEOSESV-RYUDHWBXSA-N,NCGC00164548-01,4065,training,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0
4066,NCGC00016486-01,VZTUIEROBZXUFA-UHFFFAOYSA-N,NCGC00016486-01,4066,training,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0
4067,NCGC00254527-01,RRRXPPIDPYTNJG-UHFFFAOYSA-N,NCGC00254527-01,4067,training,,0.0,0.0,,,0.0,1.0,0.0,,0.0,1.0,1.0,1.0
4068,NCGC00015615-02,MJIHNNLFOKEZEW-UHFFFAOYSA-N,NCGC00015615-02,4068,training,,1.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0
4069,NCGC00015882-09,FTALBRSUTCGOEG-UHFFFAOYSA-N,NCGC00015882-09,4069,training,,1.0,0.0,0.0,,1.0,,0.0,,1.0,,0.0,1.0
4070,NCGC00182713-01,OMZCMEYTWSXEPZ-UHFFFAOYSA-N,NCGC00182713-01,4070,training,,0.0,0.0,,,1.0,1.0,0.0,1.0,,1.0,,1.0
4071,NCGC00016410-06,WJCNZQLZVWNLKY-UHFFFAOYSA-N,NCGC00016410-06,4071,training,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,,1.0,,,0.0
4072,NCGC00013489-01,NHZLNPMOSADWGC-UHFFFAOYSA-N,NCGC00013489-01,4072,training,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
4073,NCGC00160496-01,YMFGJWGABDOFID-UHFFFAOYSA-N,NCGC00160496-01,4073,training,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0
4074,NCGC00260393-01,OTBHHUPVCYLGQO-UHFFFAOYSA-N,NCGC00260393-01,4074,training,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
4075,NCGC00182706-01,BPKAHTKRCLCHEA-UBFJEZKGSA-N,NCGC00182706-01,4075,training,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0
4076,NCGC00090686-04,IAIWVQXQOWNYOU-FPYGCLRLSA-N,NCGC00090686-04,4076,training,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0
4077,NCGC00168776-01,WHBIGIKBNXZKFE-UHFFFAOYSA-N,NCGC00168776-01,4077,training,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
4078,NCGC00160564-01,ZBJBRUSGEJORQL-UHFFFAOYSA-N,NCGC00160564-01,4078,training,,0.0,0.0,0.0,0.0,1.0,,0.0,,0.0,,1.0,0.0
4079,NCGC00160580-01,LGCMKPRGGJRYGM-UHFFFAOYSA-N,NCGC00160580-01,4079,training,,1.0,0.0,,,1.0,0.0,0.0,,1.0,,1.0,0.0
4080,NCGC00017134-01,FYSVKUUNXYGFLA-CCHMMTNSSA-N,NCGC00017134-01,4080,training,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
4081,NCGC00095128-01,AHLBNYSZXLDEJQ-DUNLCCOXSA-N,NCGC00095128-01,4081,training,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
4082,NCGC00159559-02,JUKPWJGBANNWMW-VWBFHTRKSA-N,NCGC00159559-02,4082,training,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0
4083,NCGC00021274-03,UYIFTLBWAOGQBI-BZDYCCQFSA-N,NCGC00021274-03,4083,training,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,,0.0
4084,NCGC00014750-02,WYJAPUKIYAZSEM-MOPGFXCFSA-N,NCGC00014750-02,4084,training,,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,1.0
4085,NCGC00257625-01,ICMWWNHDUZJFDW-DHODBPELSA-N,NCGC00257625-01,4085,training,,0.0,1.0,1.0,,1.0,1.0,,1.0,0.0,1.0,,
4086,NCGC00159415-02,XWALNWXLMVGSFR-HLXURNFRSA-N,NCGC00159415-02,4086,training,,0.0,1.0,1.0,,1.0,1.0,0.0,,0.0,,0.0,
4087,NCGC00183119-01,VWAUPFMBXBWEQY-ANULTFPQSA-N,NCGC00183119-01,4087,training,,,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0
4088,NCGC00159416-02,NPAGDVCDWIYMMC-IZPLOLCNSA-N,NCGC00159416-02,4088,training,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0
4089,NCGC00164479-01,NPAGDVCDWIYMMC-IZPLOLCNSA-N,NCGC00164479-01,4089,training,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0
